🕘️更新时间,#genre#
CCTV-14,http://183.191.140.139:8001/rtp/226.0.2.166:9240
CCTV-14,http://117.64.102.205:4022/rtp/238.1.78.243:7816
CCTV-14,http://171.120.189.21:89/rtp/226.0.2.166:9240
CCTV-14,http://221.232.243.168:40000/rtp/239.254.96.162:9046
CCTV-15,http://27.223.143.234:4001/rtp/239.253.254.170:8000
CCTV-15,http://27.223.143.225:4001/rtp/239.253.254.170:8000
CCTV-15,http://27.223.171.195:4001/rtp/239.253.254.170:8000
CCTV-15,http://39.77.22.1:4001/rtp/239.253.254.170:8000
CCTV-15,http://27.210.20.247:4001/rtp/239.253.254.170:8000
CCTV-15,http://144.255.16.170:6688/rtp/239.21.2.4:5002
CCTV-15,http://117.64.102.205:4022/rtp/238.1.78.222:7648
CCTV-15,http://221.232.243.168:40000/rtp/239.254.96.13:8052
CCTV-15,http://42.237.222.241:8899/rtp/225.1.4.216:1269
CCTV-15,http://183.164.63.130:5000/rtp/238.1.78.222:7648
CCTV-16,http://183.191.140.139:8001/rtp/226.0.2.169:9264
CCTV-16,http://171.120.189.21:89/rtp/226.0.2.169:9264
CCTV-16,http://221.232.243.168:40000/rtp/239.69.1.247:11124
CCTV-16,http://220.176.218.27:9000/rtp/239.252.220.237:5140
CCTV-16,http://42.237.222.241:8899/rtp/225.1.5.46:1356
CCTV-16,http://171.8.84.159:8800/rtp/239.16.20.34:10340
CCTV-16,http://27.19.67.44:8888/rtp/239.69.1.247:11124
CCTV-16,http://27.17.213.212:8888/rtp/239.69.1.247:11124
CCTV-16,http://106.59.2.96:55555/rtp/239.200.200.193:8776
CCTV-16,http://106.59.2.184:55555/rtp/239.200.200.193:8776
CCTV-17,http://27.223.143.234:4001/rtp/239.253.254.168:8000
CCTV-17,http://27.223.143.225:4001/rtp/239.253.254.168:8000
CCTV-17,http://27.223.171.195:4001/rtp/239.253.254.168:8000
CCTV-17,http://39.77.22.1:4001/rtp/239.253.254.168:8000
CCTV-17,http://27.210.20.247:4001/rtp/239.253.254.168:8000
CCTV-17,http://171.83.2.139:1234/rtp/239.69.1.153:10554
CCTV-17,http://144.255.16.170:6688/rtp/239.21.1.186:5002
CCTV-17,http://183.191.140.139:8001/rtp/226.0.2.170:9272
CCTV-17,http://117.64.102.205:4022/rtp/238.1.78.178:7296
CCTV-17,http://171.120.189.21:89/rtp/226.0.2.170:9272

💰央视付费频道,#genre#
央视台球,http://117.64.102.205:4022/rtp/238.1.79.59:4608
央视台球,http://220.176.218.27:9000/rtp/239.252.219.80:5140
央视台球,http://183.164.63.130:5000/rtp/238.1.79.59:4608
央视台球,http://61.191.144.238:5800/rtp/238.1.79.59:4608
风云音乐,http://117.64.102.205:4022/rtp/238.1.79.64:4648
风云音乐,http://221.232.243.168:40000/rtp/239.69.1.90:10180
风云音乐,http://220.176.218.27:9000/rtp/239.252.219.87:5140
风云音乐,http://183.164.63.130:5000/rtp/238.1.79.64:4648
风云音乐,http://27.19.67.44:8888/rtp/239.69.1.90:10180
风云音乐,http://27.17.213.212:8888/rtp/239.69.1.90:10180
风云音乐,http://27.17.214.13:8888/rtp/239.69.1.90:10180
风云音乐,http://61.191.144.238:5800/rtp/238.1.79.64:4648
第一剧场,http://117.64.102.205:4022/rtp/238.1.79.63:4640
第一剧场,http://220.176.218.27:9000/rtp/239.252.219.86:5140
第一剧场,http://183.164.63.130:5000/rtp/238.1.79.63:4640
第一剧场,http://61.191.144.238:5800/rtp/238.1.79.63:4640
风云剧场,http://117.64.102.205:4022/rtp/238.1.79.62:4632
